db_id,institution_code,collection_code,specimen_id,authority,taxonomy_notes,morphospecies,species,subgenus,genus,subtribe,tribe,subfamily,family,superfamily,infraorder,suborder,order,class,ncbi_may_edit,ncbi_search_success,ncbi_species,ncbi_id_rank,ncbi_taxid,variant_status,chimera_notes,traptype,dev_stage,site,locality,subregion,country,latitude,longitude,size,feeding_behaviour,habitat,habitat_stratum,authors,library,datasubmitter,projectname,genbank_accession,notes,contigname
GBDL01713,,,,,,,Glenea cantor,,Glenea,,Saperdini,Lamiinae,Cerambycidae,Chrysomeloidea,Cucujiformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Glenea cantor,species,983541,unconsidered species duplicate,,,,,,,,,,,,,,,,,,NC_043883,,NC_043883
GBDL01714,,,,,,,Diorhabda carinulata,,Diorhabda,,Galerucini,Galerucinae,Chrysomelidae,Chrysomeloidea,Cucujiformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Diorhabda carinulata,species,1163345,unconsidered species duplicate,,,,,,,,,,,,,,,,,,NC_042946,,NC_042946
GBDL01715,,,,,,,Diorhabda carinata,,Diorhabda,,Galerucini,Galerucinae,Chrysomelidae,Chrysomeloidea,Cucujiformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Diorhabda carinata,species,1163344,unconsidered species duplicate,,,,,,,,,,,,,,,,,,NC_042945,,NC_042945
GBDL01716,,,,,,,Himaloaesalus gaoligongshanus,,Himaloaesalus,,Aesalini,Aesalinae,Lucanidae,Scarabaeoidea,Scarabaeiformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Himaloaesalus gaoligongshanus,species,2583518,unconsidered species duplicate,,,,,,,,,,,,,,,,,,NC_042922,,NC_042922
GBDL01717,,,NREA 2,,,,Altica cirsicola,,Altica,,Alticini,Galerucinae,Chrysomelidae,Chrysomeloidea,Cucujiformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Altica cirsicola,species,404223,unconsidered species duplicate,,,,,,,,,,,,,,,,,,NC_042876,,NC_042876
GBDL01718,,,NREA 11,,,,Altica fragariae,,Altica,,Alticini,Galerucinae,Chrysomelidae,Chrysomeloidea,Cucujiformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Altica fragariae,species,404224,unconsidered species duplicate,,,,,,,,,,,,,,,,,,NC_042875,,NC_042875
GBDL01719,,,,,,,Oomorphoides metallicus,,Oomorphoides,,,Lamprosomatinae,Chrysomelidae,Chrysomeloidea,Cucujiformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Oomorphoides metallicus,species,2576292,unconsidered species duplicate,,,,,,,,,,,,,,,,,,NC_042828,,NC_042828
GBDL01720,,,,,,,Rhyzopertha dominica,,Rhyzopertha,,,Dinoderinae,Bostrichidae,Bostrichoidea,Bostrichiformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Rhyzopertha dominica,species,92692,unconsidered species duplicate,,,,,,,China,,,,,,,,,,,NC_042820,,NC_042820
GBDL01721,,,,,,,Sinodendron rugosum,,Sinodendron,,,Syndesinae,Lucanidae,Scarabaeoidea,Scarabaeiformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Sinodendron rugosum,species,618636,unconsidered species duplicate,,,,,,,,,,,,,,,,,,NC_042614,,NC_042614
GBDL01722,,,,,,,Ceruchus minor,,Ceruchus,,,Syndesinae,Lucanidae,Scarabaeoidea,Scarabaeiformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Ceruchus minor,species,617564,unconsidered species duplicate,,,,,,,,,,,,,,,,,,NC_042613,,NC_042613
